Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0201,2,10uF,
"C10, C11, C12, C5, C6, C7, C8, C9",0201,8,100 nF,
"C13, C14",0201,2,15p,
C15,0201,1,100nF,
"C3, C4",0201,2,1uF,
D1,0402,1,LED,
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,
J2,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,1,SWD,
J3,PinHeader_1x06_P2.54mm_Vertical,1,HC-05,
J5,PinHeader_1x20_P2.54mm_Vertical,1,GPIO HEADERS - 1,
J6,PinHeader_1x20_P2.54mm_Vertical,1,GPIO HEADERS - 2,
"R1, R2",0201,2,27,
"R3, R4",0201,2,1K,
R5,0201,1,10K,
"R6, R7",0201,2,5.1K,
R8,0201,1,330,
SW1,SW_SPST_TS-1088-xR020,1,RESET,
SW2,SW_SPST_TS-1088-xR020,1,BOOT,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q32JVSS,
U3,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U4,SOT-666,1,USBLC6-2P6,
Y2,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,Crystal_GND24,
