Designator,Mid X,Mid Y,Rotation,Layer
C1,100.842,-83.312,180.0,top
C10,99.568,-57.2618,90.0,top
C11,100.33,-57.2618,90.0,top
C12,105.156,-48.8696,0.0,top
C13,104.112,-71.054,270.0,top
C14,99.54,-71.816,270.0,top
C15,94.488,-87.95,270.0,top
C2,91.886,-83.312,0.0,top
C3,101.6,-57.2664,90.0,top
C4,102.362,-57.2664,90.0,top
C5,95.758,-57.252,90.0,top
C6,96.52,-57.252,90.0,top
C7,97.282,-57.2618,90.0,top
C8,98.044,-57.2618,90.0,top
C9,98.806,-57.2618,90.0,top
D1,92.202,-60.429,270.0,top
J1,96.522,-97.725,0.0,top
J2,105.41,-89.535,180.0,top
J3,100.076,-43.688,270.0,top
J5,86.106,-70.358,0.0,top
J6,113.665,-70.358,0.0,top
R1,95.631,-86.3711,90.0,top
R2,97.282,-86.3711,90.0,top
R3,91.694,-65.1916,90.0,top
R4,99.54,-70.317,90.0,top
R5,108.204,-65.212,270.0,top
R6,93.472,-88.6571,90.0,top
R7,99.568,-88.7261,90.0,top
R8,92.215,-62.288,270.0,top
SW1,108.1532,-69.0474,270.0,top
SW2,91.694,-69.149,90.0,top
U1,99.66,-64.135,90.0,top
U2,99.5365,-50.8,270.0,top
U3,96.397,-79.35,270.0,top
U4,96.4692,-88.265,180.0,top
Y2,101.84,-71.055,0.0,top
